Date,META,AAPL,AMZN,NFLX,GOOGL
2023-10-02,304.1490783691406,171.5792236328125,129.4600067138672,38.03300094604492,132.99075317382812
2023-10-03,298.3202209472656,170.24610900878906,124.72000122070312,37.67499923706055,131.2660369873047
2023-10-04,302.9198913574219,171.4903564453125,127.0,37.689998626708984,134.05133056640625
2023-10-05,302.1367492675781,172.7247314453125,125.95999908447266,37.25899887084961,133.88284301757812
2023-10-06,312.6841735839844,175.2725067138672,127.95999908447266,38.1510009765625,136.3707733154297
2023-10-09,315.5885925292969,176.75376892089844,128.25999450683594,38.595001220703125,137.203369140625
2023-10-10,319.0382995605469,176.1612548828125,129.47999572753906,37.332000732421875,136.84654235839844
2023-10-11,324.9662780761719,177.55364990234375,131.8300018310547,36.59299850463867,139.31468200683594
2023-10-12,321.338134765625,178.45225524902344,132.3300018310547,36.119998931884766,137.74855041503906
2023-10-13,311.9505615234375,176.6155242919922,129.7899932861328,35.56800079345703,136.15269470214844
2023-10-16,318.3542785644531,176.48712158203125,132.5500030517578,36.082000732421875,137.87741088867188
2023-10-17,321.1795349121094,174.93673706054688,131.47000122070312,35.571998596191406,138.49195861816406
2023-10-18,314.2107238769531,173.64309692382812,128.1300048828125,34.61899948120117,136.74742126464844
2023-10-19,310.08697509765625,173.26785278320312,128.39999389648438,40.176998138427734,136.5392608642578
2023-10-20,305.9631652832031,170.72007751464844,125.16999816894531,40.09600067138672,134.40818786621094
2023-10-23,311.2765197753906,170.83860778808594,126.55999755859375,40.683998107910156,135.30027770996094
2023-10-24,309.8292236328125,171.27308654785156,128.55999755859375,41.37300109863281,137.5899658203125
2023-10-25,296.92254638671875,168.9623260498047,121.38999938964844,41.125,124.50597381591797
2023-10-26,285.83990478515625,164.80490112304688,119.56999969482422,40.354000091552734,121.20525360107422
2023-10-27,294.14697265625,166.11831665039062,127.73999786376953,39.7869987487793,121.09620666503906
2023-10-30,300.0252990722656,168.1624298095703,132.7100067138672,41.007999420166016,123.36608123779297
2023-10-31,298.6473693847656,168.63645935058594,133.08999633789062,41.16899871826172,122.98941802978516
2023-11-01,309.13531494140625,171.79644775390625,137.0,42.01900100708008,125.33858489990234
2023-11-02,308.16387939453125,175.35150146484375,138.07000732421875,42.47100067138672,126.36944580078125
2023-11-03,311.86138916015625,174.4429931640625,138.60000610351562,43.236000061035156,127.96531677246094
